Channel_name,Subscribers,Video_Count,Total_Views,created_at
Codecademy,291000,270,29126558,2024-01-14
GitHub,347000,1719,15090088,2024-01-14
Amazon Web Services,724000,15974,338817627,2024-01-14
Microsoft Azure,305000,1501,24800186,2024-01-14
